name,group,value
Myriel,1,31
Napoleon,1,0
Mlle.Baptistine,1,9
Mme.Magloire,1,3
CountessdeLo,1,0
Geborand,1,0
Champtercier,1,0
Cravatte,1,0
Count,1,0
OldMan,1,0
Labarre,2,1
Valjean,2,146
Marguerite,3,2
Mme.deR,2,0
Isabeau,2,0
Gervais,2,0
Tholomyes,3,26
Listolier,3,20
Fameuil,3,16
Blacheville,3,13
Favourite,3,13
Dahlia,3,8
Zephine,3,4
Fantine,3,12
Mme.Thenardier,4,25
Thenardier,4,35
Cosette,5,31
Javert,4,18
Fauchelevent,0,5
Bamatabois,2,7
Perpetue,3,2
Simplice,2,0
Scaufflaire,2,0
Woman1,2,0
Judge,2,9
Champmathieu,2,6
Brevet,2,4
Chenildieu,2,2
Cochepaille,2,0
Pontmercy,4,2
Boulatruelle,6,0
Eponine,4,14
Anzelma,4,0
Woman2,5,0
MotherInnocent,0,0
Gribier,0,0
Jondrette,7,1
Mme.Burgon,7,2
Gavroche,8,51
Gillenormand,5,24
Magnon,5,0
Mlle.Gillenormand,5,10
Mme.Pontmercy,5,0
Mlle.Vaubois,5,0
Lt.Gillenormand,5,1
Marius,8,32
BaronessT,5,0
Mabeuf,8,13
Enjolras,8,66
Combeferre,8,40
Prouvaire,8,12
Feuilly,8,21
Courfeyrac,8,26
Bahorel,8,11
Bossuet,8,11
Joly,8,3
Grantaire,8,1
MotherPlutarch,9,0
Gueulemer,4,15
Babet,4,9
Claquesous,4,3
Montparnasse,4,1
Toussaint,5,0
Child1,10,3
Child2,10,0
Brujon,4,0
Mme.Hucheloup,8,0
